Insertions,Txt file time, csv file time
119,2.956390380859375e-05,0.0001163482666015625
120,2.9802322387695312e-05,0.00011658668518066406
121,3.0040740966796875e-05,0.000118255615234375
122,3.0279159545898438e-05,0.00011849403381347656
123,3.0517578125e-05,0.00011897087097167969
124,3.0517578125e-05,0.00012087821960449219
125,3.123283386230469e-05,0.00012111663818359375
126,3.1948089599609375e-05,0.0001220703125
127,3.123283386230469e-05,0.00013065338134765625
128,3.170967102050781e-05,0.00012373924255371094
129,3.1948089599609375e-05,0.00012445449829101562
130,3.218650817871094e-05,0.0001327991485595703
131,3.218650817871094e-05,0.0001266002655029297
132,3.24249267578125e-05,0.00011682510375976562
133,3.2901763916015625e-05,0.00012826919555664062
134,3.314018249511719e-05,0.0001220703125
135,3.409385681152344e-05,0.00012063980102539062
136,3.409385681152344e-05,0.00012159347534179688
137,3.2901763916015625e-05,0.00011849403381347656
138,3.409385681152344e-05,0.00012230873107910156
139,3.4332275390625e-05,0.0001232624053955078
140,3.337860107421875e-05,0.00012445449829101562
141,3.361701965332031e-05,0.00012636184692382812
142,3.504753112792969e-05,0.000125885009765625
143,3.528594970703125e-05,0.00012683868408203125
144,3.528594970703125e-05,0.0001277923583984375
145,3.552436828613281e-05,0.0001285076141357422
146,3.5762786865234375e-05,0.00013303756713867188
147,3.600120544433594e-05,0.00013566017150878906
148,3.62396240234375e-05,0.00013136863708496094
149,3.6716461181640625e-05,0.0001316070556640625
150,3.695487976074219e-05,0.00013256072998046875
151,3.695487976074219e-05,0.0001342296600341797
152,3.719329833984375e-05,0.0001342296600341797
153,3.7670135498046875e-05,0.00013518333435058594
154,3.7670135498046875e-05,0.00014543533325195312
155,3.7670135498046875e-05,0.00013685226440429688
156,3.790855407714844e-05,0.00013828277587890625
157,3.814697265625e-05,0.0001385211944580078
158,3.8623809814453125e-05,0.00013947486877441406
159,3.838539123535156e-05,0.00013971328735351562
160,3.886222839355469e-05,0.00014162063598632812
161,3.910064697265625e-05,0.0001418590545654297
162,3.933906555175781e-05,0.00014281272888183594
163,3.981590270996094e-05,0.00014400482177734375
164,3.981590270996094e-05,0.00014448165893554688
165,4.00543212890625e-05,0.00014519691467285156
166,4.100799560546875e-05,0.0001461505889892578
167,4.0531158447265625e-05,0.00014710426330566406
168,4.1484832763671875e-05,0.00014829635620117188
169,4.124641418457031e-05,0.000148773193359375
170,4.1484832763671875e-05,0.00014972686767578125
171,4.1484832763671875e-05,0.00015091896057128906
172,4.1484832763671875e-05,0.0001633167266845703
173,4.1961669921875e-05,0.00015234947204589844
174,4.1961669921875e-05,0.0001533031463623047
175,4.2438507080078125e-05,0.00015401840209960938
176,4.267692565917969e-05,0.0001556873321533203
177,4.291534423828125e-05,0.00015616416931152344
178,4.291534423828125e-05,0.00015687942504882812
179,4.291534423828125e-05,0.00017261505126953125
180,5.316734313964844e-05,0.0001590251922607422
181,4.4345855712890625e-05,0.0001595020294189453
182,4.410743713378906e-05,0.00016021728515625
183,4.38690185546875e-05,0.00016117095947265625
184,4.410743713378906e-05,0.00016188621520996094
185,4.4345855712890625e-05,0.0001628398895263672
186,4.4345855712890625e-05,0.00016355514526367188
187,6.246566772460938e-05,0.000164031982421875
188,4.506111145019531e-05,0.0001647472381591797
189,4.5299530029296875e-05,0.00019741058349609375
190,4.601478576660156e-05,0.00016999244689941406
191,4.57763671875e-05,0.0001678466796875
